,sna,lat,lng,rent,return
361,重慶民族路口,25.0685,121.514,1976.8461538461536,2115.3076923076924
362,中崙福成宮,25.0453,121.54700000000001,1558.7692307692307,1487.6153846153845
363,麗湖國小,25.0733,121.602,281.84615384615387,654.2307692307693
364,銘傳大學,25.0877,121.527,1735.0,2120.3076923076924
365,民生建國路口,25.0578,121.537,1754.8461538461538,1812.0
366,南港路二段178巷口,25.0537,121.6,603.8461538461537,863.0
367,陽光街321巷口,25.0732,121.579,976.2307692307692,1098.3846153846157
368,春光公園,25.0427,121.581,2135.692307692308,2667.692307692308
369,塔悠疏散門,25.0649,121.568,592.8461538461537,756.8461538461537
370,民權東路六段15巷,25.0686,121.57799999999999,425.6923076923077,873.6923076923077
371,聯合醫院和平院區,25.0352,121.506,2253.0,1923.692307692308
372,一壽橋,24.9807,121.556,641.4615384615385,951.1538461538463
373,松基公園,25.0549,121.545,1765.5384615384617,1849.2307692307693
374,和興路26巷口,24.9857,121.545,503.92307692307685,670.9230769230769
375,錦州吉林路口,25.0603,121.53,1781.0,2290.923076923077
376,吳興街260巷,25.0261,121.56299999999999,3733.0769230769233,4229.0
377,景華街128巷口,24.9956,121.54700000000001,1338.5384615384614,1439.6923076923074
